TransactionID,Product,Quantity,Price,Date
1,Keyboard,17,,2023-01-01
2,Headphones,9,424.22,2023-01-01
3,Charger,1,211.54,2023-01-01
4,Keyboard,13,842.05,2023-01-02
5,Tablet,16,182.45,2023-01-02
6,Mouse,13,961.17,2023-01-02
7,Charger,14,421.75,2023-01-03
8,Charger,3,847.78,2023-01-03
9,Keyboard,6,632.48,2023-01-03
10,Smartphone,18,738.0,2023-01-04
11,Tablet,19,770.05,2023-01-04
12,Keyboard,5,509.8,2023-01-05
13,Tablet,15,547.87,2023-01-05
14,Tablet,2,518.86,2023-01-05
15,Mouse,10,592.18,2023-01-06
16,Charger,18,39.1,2023-01-06
17,Headphones,13,401.56,2023-01-06
18,Mouse,5,610.13,2023-01-07
19,Mouse,1,601.75,2023-01-07
20,Tablet,1,795.03,2023-01-07
21,Monitor,18,658.46,2023-01-08
22,Charger,15,992.21,2023-01-08
23,Smartphone,17,291.02,2023-01-09
24,Mouse,11,365.56,2023-01-09
25,Headphones,17,390.01,2023-01-09
26,Monitor,13,471.15,2023-01-10
27,Monitor,1,837.64,2023-01-10
28,Smartphone,2,243.43,2023-01-10
29,Mouse,9,778.24,2023-01-11
30,Headphones,3,411.26,2023-01-11
31,Charger,1,605.84,2023-01-11
32,Laptop,16,636.22,2023-01-12
33,Headphones,6,379.12,2023-01-12
34,Smartphone,17,517.49,2023-01-13
35,Monitor,5,418.9,2023-01-13
36,Charger,5,78.44,2023-01-13
37,Headphones,6,442.79,2023-01-14
38,Laptop,3,106.42,2023-01-14
39,Laptop,5,410.97,2023-01-14
40,Tablet,5,596.99,2023-01-15
41,Tablet,10,583.62,2023-01-15
42,Keyboard,10,666.0,2023-01-15
43,Smartphone,19,104.31,2023-01-16
44,Mouse,17,655.6,2023-01-16
45,Headphones,14,319.03,2023-01-17
46,Headphones,9,405.06,2023-01-17
47,Mouse,14,859.41,2023-01-17
48,Keyboard,1,18.94,2023-01-18
49,Monitor,19,592.53,2023-01-18
50,Monitor,13,602.73,2023-01-18
51,Keyboard,13,402.69,2023-01-19
52,Monitor,4,244.66,2023-01-19
53,Tablet,1,242.33,2023-01-19
54,Headphones,17,884.87,2023-01-20
55,Keyboard,8,447.6,2023-01-20
56,Headphones,2,337.58,2023-01-21
57,Mouse,8,454.29,2023-01-21
58,Laptop,7,672.7,2023-01-21
59,Tablet,2,154.3,2023-01-22
60,Charger,3,454.94,2023-01-22
61,Tablet,18,592.01,2023-01-22
62,Keyboard,12,949.1,2023-01-23
63,Charger,1,260.0,2023-01-23
64,Laptop,12,365.66,2023-01-23
65,Keyboard,5,385.57,2023-01-24
66,Smartphone,17,609.48,2023-01-24
67,Headphones,16,363.16,2023-01-25
68,Laptop,15,538.18,2023-01-25
69,Headphones,15,783.97,2023-01-25
70,Monitor,5,708.33,2023-01-26
71,Smartphone,14,451.9,2023-01-26
72,Smartphone,2,865.57,2023-01-26
73,Laptop,11,562.56,2023-01-27
