ID,Age,Salary,Experience,Department
1,56,97563,1,HR
2,46,32695,1,Marketing
3,32,78190,27,HR
4,60,35258,22,Marketing
5,25,117538,36,Marketing
6,38,69504,31,Finance
7,56,63159,32,Finance
8,36,43986,0,IT
9,40,91858,18,Finance
10,28,42666,1,IT
11,28,68660,25,IT
12,41,33561,31,IT
13,53,56854,5,IT
14,57,94505,31,IT
15,41,82251,3,HR
16,20,52662,10,Finance
17,39,38392,16,IT
18,19,60535,37,Marketing
19,41,108603,23,Finance
20,61,82256,4,Finance
21,47,119135,33,IT
22,55,65222,5,HR
23,19,107373,21,IT
24,38,109575,10,HR
25,50,114651,15,Marketing
26,29,93335,32,Finance
27,39,40965,8,Marketing
28,61,54538,5,HR
29,42,100592,15,HR
30,44,38110,28,Marketing
31,59,109309,2,HR
32,45,57266,19,Marketing
33,33,82992,35,Finance
34,32,112948,18,Marketing
35,64,36910,25,Finance
36,61,30206,2,Marketing
37,20,117054,18,HR
38,54,117897,19,Marketing
39,24,53419,31,HR
40,38,80636,6,Marketing
41,26,80015,40,Marketing
42,56,84268,32,IT
43,35,117939,39,HR
44,21,48141,38,IT
45,42,110356,17,HR
46,31,101910,39,IT
47,26,86044,0,Finance
48,43,97214,10,Marketing
49,19,63827,27,HR
50,37,85820,24,HR
51,45,92623,22,Marketing
52,64,111734,30,HR
53,24,105450,29,HR
54,61,52299,34,IT
55,25,73585,6,HR
56,64,94044,15,Finance
57,52,72557,25,Finance
58,31,79080,1,Marketing
59,34,32693,0,HR
60,53,99163,11,Marketing
61,57,55939,4,Finance
62,21,78925,36,HR
63,19,72941,31,HR
64,23,51834,8,Marketing
65,59,48047,40,Finance
66,21,56105,34,HR
67,46,105766,18,Marketing
68,35,45707,15,Finance
69,43,51976,2,Marketing
70,61,74262,19,IT
71,51,53776,23,HR
72,27,60080,32,IT
73,53,96842,23,Finance
74,31,91373,10,IT
75,48,36776,7,IT
76,65,85016,35,Finance
77,32,39474,37,Marketing
78,25,88053,39,IT
79,31,51959,19,Marketing
80,40,35530,34,IT
81,57,33748,24,Marketing
82,38,43545,34,Finance
83,33,96199,24,IT
84,62,64766,28,Finance
85,35,103530,17,IT
86,64,91087,17,Finance
87,41,98840,1,Finance
88,43,84384,34,IT
89,42,81005,15,IT
90,62,76576,40,IT
91,58,69353,35,HR
92,46,92003,32,Marketing
93,32,113211,3,HR
94,62,82733,32,HR
95,18,95318,13,Finance
96,42,119474,20,IT
97,24,53664,19,Marketing
98,26,97172,7,Finance
99,41,115616,6,HR
100,18,56736,2,IT
